peptide,group,weaker_dG,stronger_dG,weaker_score,stronger_score,weaker_hit,faces
Full_Library_Hit_18532,candidate,-30.97,-38.58,0.41445182724252494,0.6515780730897012,0,cmyb+neither
Full_Library_Hit_187,candidate,-29.64,-35.11,0.2769933554817276,0.3334717607973422,4,cmyb+mll
Full_Library_Hit_1969,candidate,-27.15,-41.96,0.5369601328903655,0.5950996677740865,5,cmyb+mll
Full_Library_Hit_19844,candidate,-24.59,-37.04,0.7321428571428571,0.7745016611295683,4,cmyb+mll
Full_Library_Hit_200,candidate,-32.57,-40.59,0.18812292358803992,0.2196843853820599,3,cmyb+mll
Full_Library_Hit_2066,candidate,-22.86,-32.34,0.33347176079734225,0.4651162790697675,3,mll+mll
Full_Library_Hit_213,candidate,-14.1,-27.26,0.21220930232558138,0.30938538205980065,4,cmyb+mll
Full_Library_Hit_22,candidate,-30.14,-33.81,0.41569767441860467,0.5693521594684385,5,cmyb+mll
Full_Library_Hit_22410,candidate,-31.61,-45.09,0.2562292358803987,0.29277408637873764,5,cmyb+mll
Full_Library_Hit_22416,candidate,-31.88,-34.69,0.41985049833887045,0.650747508305648,4,cmyb+mll
Full_Library_Hit_2326,candidate,-24.93,-29.09,0.24667774086378746,0.36254152823920277,4,cmyb+mll
Full_Library_Hit_2348,candidate,-26.67,-35.96,0.47176079734219273,0.8185215946843856,5,cmyb+mll
Full_Library_Hit_23585,candidate,-17.15,-28.7,0.2769933554817276,0.5618770764119602,0,cmyb+neither
Full_Library_Hit_2435,candidate,-24.43,-39.39,0.497093023255814,0.5062292358803987,4,cmyb+mll
Full_Library_Hit_246,candidate,-28.63,-40.36,0.30107973421926915,0.3965946843853821,4,cmyb+mll
Full_Library_Hit_2478,candidate,-29.0,-30.68,0.550249169435216,0.6557308970099668,5,cmyb+mll
Full_Library_Hit_25185,candidate,-34.78,-37.97,0.3151993355481728,0.43895348837209314,0,mll+neither
Full_Library_Hit_253,candidate,-31.28,-32.61,0.4746677740863788,0.5319767441860466,5,cmyb+mll
Full_Library_Hit_256,candidate,-27.08,-33.21,0.614202657807309,0.7911129568106312,4,cmyb+mll
Full_Library_Hit_258,candidate,-31.24,-36.54,0.33762458471760803,0.6233388704318937,2,cmyb+mll
Full_Library_Hit_26,candidate,-15.89,-36.56,0.2886212624584718,0.35091362126245856,4,cmyb+mll
Full_Library_Hit_270,candidate,-28.53,-39.19,0.3758305647840532,0.5120431893687709,3,cmyb+mll
Full_Library_Hit_27023,candidate,-29.53,-29.96,0.645764119601329,0.65656146179402,4,cmyb+mll
Full_Library_Hit_2712,candidate,-28.27,-29.72,0.33679401993355484,0.347591362126246,4,cmyb+mll
Full_Library_Hit_273,candidate,-26.87,-28.04,0.3035714285714286,0.5851328903654486,4,cmyb+mll
Full_Library_Hit_2736,candidate,-35.91,-38.66,0.8359634551495019,0.874169435215947,6,cmyb+mll
Full_Library_Hit_3019,candidate,-37.52,-39.57,0.6540697674418605,0.6777408637873755,4,cmyb+mll
Full_Library_Hit_3113,candidate,-22.91,-41.02,0.3376245847176081,0.6416112956810632,5,cmyb+mll
Full_Library_Hit_3178,candidate,-25.06,-29.82,0.6955980066445184,0.8160299003322261,4,cmyb+mll
Full_Library_Hit_3296,candidate,-30.59,-35.77,0.5950996677740864,0.6499169435215948,5,cmyb+mll
Full_Library_Hit_341,candidate,-24.72,-29.16,0.4298172757475083,0.6798172757475083,4,cmyb+mll
Full_Library_Hit_342,candidate,-19.37,-30.83,0.5145348837209304,0.5884551495016612,3,cmyb+mll
Full_Library_Hit_3464,candidate,-27.3,-34.89,0.23546511627906977,0.2612126245847176,0,cmyb+neither
Full_Library_Hit_3542,candidate,-21.3,-29.96,0.23214285714285712,0.5178571428571429,0,cmyb+neither
Full_Library_Hit_3702,candidate,-27.64,-29.36,0.42400332225913634,0.5128737541528239,6,cmyb+mll
Full_Library_Hit_38088,candidate,-27.95,-31.7,0.645764119601329,0.6798172757475084,4,cmyb+mll
Full_Library_Hit_383,candidate,-35.12,-36.86,0.627076411960133,0.7022425249169435,4,cmyb+mll
Full_Library_Hit_40119,candidate,-31.3,-47.62,0.6640365448504983,0.741279069767442,4,cmyb+mll
Full_Library_Hit_4355,candidate,-20.74,-29.09,0.5020764119601331,0.6225083056478405,5,cmyb+mll
Full_Library_Hit_4515,candidate,-28.41,-34.09,0.5211794019933556,0.6598837209302326,4,cmyb+mll
Full_Library_Hit_45339,candidate,-27.44,-31.24,0.35963455149501666,0.6357973421926911,0,cmyb+neither
Full_Library_Hit_4852,candidate,-17.87,-29.99,0.5091362126245849,0.8517441860465117,0,cmyb+neither
Full_Library_Hit_4875,candidate,-30.84,-35.28,0.6125415282392027,0.7661960132890366,4,cmyb+mll
Full_Library_Hit_51,candidate,-30.45,-37.3,0.3010797342192692,0.4107142857142858,4,cmyb+mll
Full_Library_Hit_5186,candidate,-13.13,-19.33,0.4273255813953489,0.6125415282392027,1,cmyb+cmyb
Full_Library_Hit_5281,candidate,-19.03,-28.39,0.3924418604651163,0.39659468438538215,7,cmyb+mll
Full_Library_Hit_5673,candidate,-28.26,-36.56,0.454734219269103,0.5469269102990034,5,cmyb+mll
Full_Library_Hit_5771,candidate,-29.19,-36.73,0.49460132890365455,0.5116279069767443,4,cmyb+mll
Full_Library_Hit_6,candidate,-28.88,-29.58,0.5045681063122924,0.5967607973421928,0,mll+neither
Full_Library_Hit_698,candidate,-29.26,-35.2,0.3309800664451828,0.7138704318936878,5,cmyb+mll
Full_Library_Hit_724,candidate,-19.34,-22.26,0.523671096345515,0.6764950166112957,5,cmyb+mll
Full_Library_Hit_7965,candidate,-34.49,-39.17,0.6549003322259138,0.7346345514950168,5,cmyb+mll
Full_Library_Hit_8480,candidate,-23.35,-31.4,0.44186046511627913,0.5602159468438539,2,cmyb+mll
Full_Library_Hit_868,candidate,-22.62,-33.31,0.4256644518272426,0.47715946843853824,6,cmyb+mll
MLL6_CstarA,non-binder,-24.8,-41.26,0.4215116279069768,0.5186877076411961,4,cmyb+mll
MLL6_YA,non-binder,-26.61,-43.28,0.5494186046511629,0.6183554817275749,4,cmyb+mll
WT_MLL,native,-36.08,-53.27,0.7014119601328905,0.7105481727574753,6,cmyb+mll
cMyb_native,native,-43.38,-50.38,0.5921926910299005,0.8916112956810632,4,cmyb+mll
decoy_polyAla,decoy,-6.61,-26.42,0.1324750830564784,0.17649501661129569,0,mll+neither
decoy_scramble,decoy,-20.23,-28.36,0.1524086378737542,0.18812292358803992,4,cmyb+mll
